1;MP107;"Efficacité de la maitrise des risques / réalisation PCI Unité,
";"2 contrôles sur l'efficacité de la maitrise des risques / réalisation PCI Unité,
"
2;MP212;"Avant chaque campagne d'arrêt :
- les opérateurs machine sont formés
- les prescriptions sont mises en œuvre
Les Moyens de Manutention sont opérationnels
-fiches d'observation en situation de travail";"Avant chaque campagne d'arrêt :
- les opérateurs machine sont formés
- les prescriptions sont mises en œuvre
Les Moyens de Manutention sont opérationnels
-fiches d'observation en situation de travail"
2;MP213;Prise en compte des actions issues des FIREX NQ ;Prise en compte des actions issues des FIREX NQ 
2;MP216;Contrôle de la mise en œuvre du COPAT ou de l'organisation hors COPAT;Contrôle de la mise en œuvre du COPAT ou de l'organisation hors COPAT
2;MP217;Implication des prestataires dans la préparation des AT;Implication des prestataires dans la préparation des AT
2;MP218;Contrôle de la qualité et de la pertinence des AdR Transverses sur l'AT;Contrôle de la qualité et de la pertinence des AdR Transverses sur l'AT
2;MP219;contrôle de la qualité préparation des dossiers AT (en particulier sur les modules 3 de la VD tr4 pa les métiers MOA;contrôle de la qualité préparation des dossiers AT (en particulier sur les modules 3 de la VD tr4 pa les métiers MOA
2;MP220;Contrôle de la qualité du renseignement du planning au fil de l'eau (Respect de la charte d'AT);Contrôle de la qualité du renseignement du planning au fil de l'eau (Respect de la charte d'AT)
2;MP221;Vérifier la mise en œuvre effective des Parades définies dans les ADR et des revues de projet pendant l'arrêt ;Vérifier la mise en œuvre effective des Parades définies dans les ADR et des revues de projet pendant l'arrêt 
2;MP224;Contrôle de la qualité de préparation et de réalisation des réunions en phase de préparation et de réalisation des AT (RMFA, RMGP, RDI site, RATSAL, RAT, …);Contrôle de la qualité de préparation et de réalisation des réunions en phase de préparation et de réalisation des AT (RMFA, RMGP, RDI site, RATSAL, RAT, …)
2;MP225;Sécurisation des activités sensibles ;Sécurisation des activités sensibles 
2;MP226;"Contrôle organisation SN4K/RP pour le contrôle et la signature du dossier de transport (notamment DEMR), la DAE et le courrier d'engagement du site (certificats de contamination).
";"Contrôle organisation SN4K/RP pour le contrôle et la signature du dossier de transport (notamment DEMR), la DAE et le courrier d'engagement du site (certificats de contamination).
"
2;MP227;Contrôle de gestion matière et physique sur réceptions K, évacuation ou renouvellement. Les prescriptions de contrôle sont en cours de définition sur la base notamment d'une gamme de contrôle existante à Dampierre.;Contrôle de gestion matière et physique sur réceptions K, évacuation ou renouvellement. Les prescriptions de contrôle sont en cours de définition sur la base notamment d'une gamme de contrôle existante à Dampierre.
2;MP228;"Contrôel si le service maître d'ouvrage a la capacité de réalisation de la charge des activités du programme d'un arrêt ; lorsqu'un volume repére par type d'arrêt est identifié, l'éventuel excés de charge est justifié et la capacité reste démontrée";"Contrôel si le service maître d'ouvrage a la capacité de réalisation de la charge des activités du programme d'un arrêt ; lorsqu'un volume repére par type d'arrêt est identifié, l'éventuel excés de charge est justifié et la capacité reste démontrée"
2;MP229;s'assurer que le calage des PMRQ contrôlés respecte les régles de programmation prescrites dans l'attendu 2 de la règle 3 du noyau dur du management du Pluriannuel. (le préventif des soupapes VVP en 2016);s'assurer que le calage des PMRQ contrôlés respecte les régles de programmation prescrites dans l'attendu 2 de la règle 3 du noyau dur du management du Pluriannuel. (le préventif des soupapes VVP en 2016)
3;MP301;Contrôler sur le terrain le respect des exigences liées au domaine incendie;Contrôler sur le terrain le respect des exigences liées au domaine incendie
3;MP302;Contrôler le respect des exigences liées aux charges calorifiques;Contrôler le respect des exigences liées aux charges calorifiques
3;MP303;Contrôler sur le terrain la gestion au quotidien  de la sectorisation;Contrôler sur le terrain la gestion au quotidien  de la sectorisation
3;MP305;Contrôler sur le terrain le respect des exigences liées à la gestion des produits inflammables;Contrôler sur le terrain le respect des exigences liées à la gestion des produits inflammables
3;MP306;Contrôler l'opérabilité du PCOM;Contrôler l'opérabilité du PCOM
3;MP310;Contrôler les exigences relatives aux instructions temporaires;Contrôler les exigences relatives aux instructions temporaires
3;MP312;Contrôler les exigences relatives aux EP;Contrôler les exigences relatives aux EP
3;MP313;Contrôler le respect des exigences relatives aux condamnations administratives;Contrôler le respect des exigences relatives aux condamnations administratives
3;MP314;Contrôler le respect des exigences relatives aux consignations;Contrôler le respect des exigences relatives aux consignations
3;MP315;Contrôler le respect des exigences liées à la sérénité en salle de commande;Contrôler le respect des exigences liées à la sérénité en salle de commande
3;MP316;Contrôler les exigences liées aux rondes;Contrôler les exigences liées aux rondes
3;MP317;Contrôler les exigences liées aux COMSAT;Contrôler les exigences liées aux COMSAT
3;MP318;Contrôler les exigences liées au risque FME;Contrôler les exigences liées au risque FME
3;MP320;Contrôler le respect des exigences en matière de réglages sensibles;Contrôler le respect des exigences en matière de réglages sensibles
3;MP321;Contrôler la prise en compte effective des recommandations du QSPR par les services opérationnels (niveau 3 de la DI 122);Contrôler la prise en compte effective des recommandations du QSPR par les services opérationnels (niveau 3 de la DI 122)
3;MP322;Contrôle annuel de la traçabilité des formations et exercices PUI dans les CIF;Contrôle annuel de la traçabilité des formations et exercices PUI dans les CIF
3;MP345;Contrôler la qualité des FAI hors ZP;Contrôler la qualité des FAI hors ZP
3;MP349;Contrôler les exigences associées au contrôle technique;Contrôler les exigences associées au contrôle technique
3;MP355;Contrôler les exigences relatives au lignage;Contrôler les exigences relatives au lignage
3;MP357;Contrôle de la bonne réalisation des contrôles d'opérabilité des différents PC des et des moyens mobiles utilisés en situation de crise (essais réalisés, exercices et entraînements réalisés conformément au programme…);Contrôle de la bonne réalisation des contrôles d'opérabilité des différents PC des et des moyens mobiles utilisés en situation de crise (essais réalisés, exercices et entraînements réalisés conformément au programme…)
3;MP360;Contrôler les exigences relatives à la maîtrise de la réactivité;Contrôler les exigences relatives à la maîtrise de la réactivité
3;MP362;Contrôle du respect des exigences associées à la gestion de la protection volumétrique;Contrôle du respect des exigences associées à la gestion de la protection volumétrique
3;MP363;contrôle sur le respect du processus de traitement des écarts de conformité et sur le respect des délais associés;contrôle sur le respect du processus de traitement des écarts de conformité et sur le respect des délais associés
3;MP364;Réaliser des contrôles sur la rédaction des FACR ( DMP/MTI, changement de PdR, autres modifications apportées aux installations ) sur le modèle de celui réalisé suite à décision comité sûreté en 2015;Réaliser des contrôles sur la rédaction des FACR ( DMP/MTI, changement de PdR, autres modifications apportées aux installations ) sur le modèle de celui réalisé suite à décision comité sûreté en 2015
4;MP402;sécuriser les accés en zones rouges;sécuriser les accés en zones rouges
4;MP403;sécuriser les accés en zones oranges;sécuriser les accés en zones oranges
4;MP404;identifier les chantiers à risque d'exposition extrémité;identifier les chantiers à risque d'exposition extrémité
4;MP406;éviter la contamination de convois quittant le site;éviter la contamination de convois quittant le site
4;MP408;maîtrise de l'exposition interne;maîtrise de l'exposition interne
4; MP411;maîtriser les matériels dédies ou contaminés (DI82/C3);maîtriser les matériels dédies ou contaminés (DI82/C3)
4;MP412;maîtriser les opérations de levage;maîtriser les opérations de levage
4;MP414;maîtriser les opérations de travaux en hauteur;maîtriser les opérations de travaux en hauteur
4;MP415;maîtriser les travaux électriques;maîtriser les travaux électriques
4;MP423;"maîtrise de la contamination sur les chantiers et des régles de sortie de ""zones""";"maîtrise de la contamination sur les chantiers et des régles de sortie de ""zones"""
4;MP427;contrôle des demandes d'aménagement chantier et des exigences du RTR;contrôle des demandes d'aménagement chantier et des exigences du RTR
4;MP429;"contrôler le respectdes régles relatives aux activitésconfiées par le SIR
Contrôler la bonne mise en oeuvre de l'ARPE
Contrôle par sondage de la robustesse de déclinaison de la réglementation";"contrôler le respectdes régles relatives aux activitésconfiées par le SIR
Contrôler la bonne mise en oeuvre de l'ARPE
Contrôle par sondage de la robustesse de déclinaison de la réglementation"
4;MP430; vérification du traitements des écarts identifiés par QSPR; vérification du traitements des écarts identifiés par QSPR
5;MP502;"Contrôle du respect des référentiels sur le terrain
Contrôle du respect des référentiels et guides internes
Surveillance rapprochée PGAC";"Contrôle du respect des référentiels sur le terrain
Contrôle du respect des référentiels et guides internes
Surveillance rapprochée PGAC"
5;"MP505
";"Contrôler la rigueur et la traçabilité de la mise en oeuvre des articles de la décision Enviro
";"Contrôler la rigueur et la traçabilité de la mise en oeuvre des articles de la décision Enviro
"
5;MP517;"Contrôler par sondage  la robustesse de déclinaison de la réglementation
";"Contrôler par sondage  la robustesse de déclinaison de la réglementation
"
5;MP519;"PCI sur la surveillance des prestataires ou l'exercice de la MOA déléguée à la DIRSO
";"PCI sur la surveillance des prestataires ou l'exercice de la MOA déléguée à la DIRSO
"
6;MP624;Prise en compte des exigences AREX (ex : conformité ¨PDR) dans les DRT;Prise en compte des exigences AREX (ex : conformité ¨PDR) dans les DRT
6;MP630;contrôle de l'intégration du prescriptif (programmation et réalisation) en fonction des analyses de fiabilité et du pluriannuel;contrôle de l'intégration du prescriptif (programmation et réalisation) en fonction des analyses de fiabilité et du pluriannuel
6;MP632;Contrôles sur la prise en compte du RPMQ. - Contrôle de la qualité de renseignement des équipements: ;Contrôles sur la prise en compte du RPMQ. - Contrôle de la qualité de renseignement des équipements: 
7;MP745;Respect de la réglementation en matière d'aménagement et de durée du travail;Respect de la réglementation en matière d'aménagement et de durée du travail
7;MP754;établissement des cibles emplois conformément aux priorités site et projets métiers / respect des arbitrages réalisés suite à notification effectifs ;établissement des cibles emplois conformément aux priorités site et projets métiers / respect des arbitrages réalisés suite à notification effectifs 
7;MP755;Evaluation des compétences sur le terrain;Evaluation des compétences sur le terrain
7;MP756;Fiabilité des compétences sur les activités sensibles;Fiabilité des compétences sur les activités sensibles
7;MP757;PCI EAP qualitatif à créer;PCI EAP qualitatif à créer
8;MP801;Contrôle interne sur la qualité des programmes de surveillance ;Contrôle interne sur la qualité des programmes de surveillance 
8;MP802;contrôle de la réalisation de la surveillance;contrôle de la réalisation de la surveillance
8;MP811;contrôle de la réalisation du PCICF;contrôle de la réalisation du PCICF
8;MP813;contrôle des heures d'attentes;contrôle des heures d'attentes
8;MP817;contrôle sur la mise à jour des habilitations SI par rapport aux mouvement des agents sur site;contrôle sur la mise à jour des habilitations SI par rapport aux mouvement des agents sur site
8;MP820;contrôle sur prêt de main d'œuvre;contrôle sur prêt de main d'œuvre
8;MP823;contrôle sur la qualité de remontée de service (par rapport au cadrage PMT);contrôle sur la qualité de remontée de service (par rapport au cadrage PMT)
8;MP827;contrôle sur les DA émise après la clôture budgetaire de chaque AT (un mois après le couplage);contrôle sur les DA émise après la clôture budgetaire de chaque AT (un mois après le couplage)
